"id","kingdom","phylum","class","subclass","infraclass","subterclass","superorder","superfamily","family","genus","species","subphylum","order","subfamily","superclass","suborder","infraorder","parvorder","subkingdom","infrakingdom","tribe","subgenus","infraphylum","parvphylum","gigaclass","megaclass","phylum_division","subphylum_subdivision","subtribe","section","subsection","subspecies","epifamily"
"469163","Animalia","Bryozoa","Gymnolaemata",NA,NA,NA,NA,"Lepralielloidea","Bryocryptellidae","Porella","Porella porifera",NA,"Cheilostomatida",NA,NA,"Flustrina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257584","Animalia","Arthropoda","Malacostraca","Eumalacostraca",NA,NA,"Peracarida","Bopyroidea","Entoniscidae","Portunion","Portunion conformis","Crustacea","Isopoda","Entioninae","Multicrustacea","Epicaridea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372518","Chromista","Ochrophyta","Phaeophyceae","Fucophycidae",NA,NA,NA,NA,"Laminariaceae","Postelsia","Postelsia palmaeformis",NA,"Laminariales",NA,NA,NA,NA,NA,"Harosa","Heterokonta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"727659","Animalia","Platyhelminthes","Trematoda","Digenea",NA,NA,NA,"Monorchioidea","Monorchiidae","Postmonorchis","Postmonorchis donacis","Rhabditophora","Plagiorchiida","Monorchiinae","Neodermata","Monorchiata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360268","Animalia","Arthropoda","Copepoda",NA,"Neocopepoda",NA,"Podoplea",NA,"Ameiridae","Praeleptomesochra","Praeleptomesochra similis","Crustacea","Harpacticoida",NA,"Multicrustacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472023","Animalia","Bryozoa","Gymnolaemata",NA,NA,NA,NA,"Schizoporelloidea","Pacificincolidae","Primavelans","Primavelans insculpta",NA,"Cheilostomatida",NA,NA,"Flustrina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472024","Animalia","Bryozoa","Gymnolaemata",NA,NA,NA,NA,"Schizoporelloidea","Pacificincolidae","Primavelans","Primavelans mexicana",NA,"Cheilostomatida",NA,NA,"Flustrina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"558839","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",NA,NA,NA,"Spionidae","Prionospio","Prionospio lighti",NA,"Spionida",NA,NA,"Spioniformia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"582731","Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Galeommatoidea","Lasaeidae","Pristes","Pristes oblongus",NA,"Galeommatida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285324","Animalia","Cnidaria","Hydrozoa","Hydroidolina",NA,NA,NA,NA,"Proboscidactylidae","Proboscidactyla","Proboscidactyla circumsabella","Medusozoa","Anthoathecata",NA,NA,"Filifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285327","Animalia","Cnidaria","Hydrozoa","Hydroidolina",NA,NA,NA,NA,"Proboscidactylidae","Proboscidactyla","Proboscidactyla occidentalis","Medusozoa","Anthoathecata",NA,NA,"Filifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147100","Animalia","Nemertea","Palaeonemertea",NA,NA,NA,NA,NA,"Cephalotrichidae","Procephalothrix","Procephalothrix major",NA,"Archinemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147117","Animalia","Nemertea","Palaeonemertea",NA,NA,NA,NA,NA,"Cephalotrichidae","Procephalothrix","Procephalothrix spiralis",NA,"Archinemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131362","Animalia","Annelida","Polychaeta","Errantia",NA,NA,NA,NA,"Syllidae","Proceraea","Proceraea cornuta",NA,"Phyllodocida","Autolytinae",NA,"Nereidiformia",NA,NA,NA,NA,"Procerini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331155","Animalia","Annelida","Polychaeta","Errantia",NA,NA,NA,NA,"Syllidae","Proceraea","Proceraea nigropunctata",NA,"Phyllodocida","Autolytinae",NA,"Nereidiformia",NA,NA,NA,NA,"Procerini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228326","Animalia","Nematoda","Chromadorea","Chromadoria",NA,NA,NA,"Chromadoroidea","Chromadoridae","Prochromadora","Prochromadora trisupplementa",NA,"Chromadorida","Chromadorinae",NA,"Chromadorina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491479","Animalia","Arthropoda","Malacostraca","Eumalacostraca",NA,NA,"Peracarida","Hyaloidea","Hyalidae","Protohyale","Protohyale (Protohyale) frequens","Crustacea","Amphipoda","Hyalinae","Multicrustacea","Senticaudata","Talitrida","Talitridira",NA,NA,NA,"Protohyale (Protohyale)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1673554","Animalia","Mollusca","Gastropoda","Vetigastropoda",NA,NA,NA,"Trochoidea","Tegulidae","Promartynia","Promartynia pulligo",NA,"Trochida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481009","Animalia","Platyhelminthes",NA,NA,NA,NA,NA,NA,"Promesostomidae","Promesostoma","Promesostoma dipterostylum","Rhabditophora","Rhabdocoela","Promesostominae",NA,"Dalytyphloplanida","Neotyphloplanida","Thalassotyphloplanida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154386","Animalia","Platyhelminthes",NA,NA,NA,NA,NA,NA,"Monocelididae","Promonotus","Promonotus orthocirrus","Rhabditophora","Proseriata","Duplomonocelidinae",NA,NA,"Lithophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487373","Animalia","Platyhelminthes",NA,NA,NA,NA,NA,NA,"Euryleptidae","Prostheceraeus","Prostheceraeus bellostriatus","Rhabditophora","Polycladida",NA,NA,"Cotylea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329938","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",NA,NA,NA,"Cirratulidae","Protocirrineris","Protocirrineris socialis",NA,"Terebellida",NA,NA,"Cirratuliformia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387497","Animalia","Arthropoda","Malacostraca","Eumalacostraca",NA,NA,"Peracarida","Hyaloidea","Hyalidae","Protohyale","Protohyale (Leptohyale) longipalpa","Crustacea","Amphipoda","Hyalinae","Multicrustacea","Senticaudata","Talitrida","Talitridira",NA,NA,NA,"Protohyale (Leptohyale)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"608027","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",NA,NA,NA,"Serpulidae","Protolaeospira","Protolaeospira (Protolaeospira) eximia",NA,"Sabellida","Spirorbinae",NA,NA,NA,NA,NA,NA,"Romanchellini","Protolaeospira (Protolaeospira)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1305170","Animalia","Nematoda","Chromadorea","Chromadoria",NA,NA,NA,"Desmoscolecoidea","Desmoscolecidae","Protricoma","Protricoma squamosa",NA,"Desmoscolecida","Tricominae",NA,"Desmoscolecina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355023","Animalia","Arthropoda","Copepoda",NA,"Neocopepoda",NA,"Podoplea",NA,"Pseudanthessiidae","Pseudanthessius","Pseudanthessius latus","Crustacea","Cyclopoida",NA,"Multicrustacea","Ergasilida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
