ID,species
113,Kaburakia exelsa
114,Notoplana acticola
115,Allioplana californica
116,Pseudoceros luteus
117,Eurylepta californica
118,Prostheceraeus bellostriatus
119,Enchiridium punctatum
120,Tubulanus frenatus
121,Tubulanus sexlineatus
122,Baseodiscus punnetti
123,Emplectonerma gracile
124,Paranemertes peregrina
125,Amphiporus bimaculatus
126,Amphiporus imparispinosus
127,Malacobdella grossa
128,Tricellaria occidentalis
129,Bugula californica
130,Bugula neritina
131,Dendrobeania laxa
132,Schizporella unicornis
133,Hippodoplosia insculpta
134,Integripelta bilibiata
135,Costazia robertsoniae
136,Celleporariae brunnea
137,Crisulipora occidentalis
138,Filicrisia fransciscana
139,Frustrellida corniculata
140,Bowerbankia gracilis
141,Triticella elongata
142,Linckia columbiae
143,Dermasterias imbricata
144,Patiria miniata
145,Henricia leviuscula
146,Solaster dawsonii
147,Astrometis sertulifera
148,Leptasterias pusilla
149,Leptasterias hexactis
150,Pisaster ochraceus
151,Pisaster giganteus
152,Pycnopodia heliathoides
153,Pisaster brevispinus
154,Cucumaria pseudocurata
155,Cucumaria miniata
156,Eupentacta quinquesemita
157,Pachythone rubra
158,Lissothuria nutriens
159,Apostichopus californicus
160,Ophiopolus aculeata
161,Amphipholus squamata
162,Amphipholus pugetana
163,Ophiothrix spiculata
164,Ophiothrix rudis
165,Ophioplocus esmarki
166,Ophioderma panamense
167,Ophiopteris papillosa
168,Strongylocentrotus purpuratus
169,Strongylocentrotus franciscanus
170,Aplidium californicum
171,Aplidium solidum
172,Aplidium propinquum
173,Aplidium arenatum
174,Polyclinum planum
175,Synoicum parfustis
176,Ritterella pulchra
177,Ritterella aequalisiphonis
178,Euherdmania claviformis
179,Didemnum carnulentum
180,Trididemnum opacum
181,Diplosoma listerianum
182,Archidistoma ritteri
183,Archidistoma psammion
184,Archidistoma diaphanes
185,Cystodytes lobatus
186,Clavelina huntsmani
187,Distaplia occidentalis
188,Perophora annectens
189,Ascidia ceratodes
190,Fissurela volcano
191,Fissurela volcano crucifera
192,Megatebennus bimaculatus
193,Megathura crenulata
194,Diodora arnoldi
195,Diodora aspera
196,Acmea mitra
197,Lottia asmi
198,Lottia austrodigitalis
199,Lottia digitalis
200,Lottia fenestrata
201,Lottia gigantea
202,Lottia instabilis
203,Lottia limatula
204,Lottia ochracea
205,Lottia strigatella
206,Lottia strigatella
207,Lottia paradigitalis
208,Lottia pelta
209,Lottia persona
210,Lottia scabra
211,Lottia sp. 
212,Lottia triangularis
213,Notoacmea inessa
214,Notoacmea paleacea
215,Lottia scutum
216,Metandrocarpa taylori
217,Styela montereyensis
218,Styela clava
219,Styela truncata
220,Pyura haustor
221,Pyura mirabilis
222,Boltenia villosa
223,Halocynthia hilgendorfi igaboja
224,Molgula verrucifera
225,Haliotis rufescens
226,Haliotis fulgens
227,Haliotis corrugata
228,Hydractinia milleri
229,Haliotis cracherodii
230,Calliostoma annulatum
231,Calliostoma caniculatum
232,Calliostoma ligatum
233,Calliostoma gemmulatum
234,Margarites pupillus
235,Norrisia norrisi
236,Tegula brunnea
237,Tegula funebralis 
238,Tegula aureotincta
239,Tegula gallina
240,Tegula eiseni?
241,Tegula montereyi
242,Tegula pulligo
243,Pomaulax gibberosus
244,Megastrea undosa
245,Homalopoma luridum
246,Lacuna marmorata
247,Littorina planaxis
248,Littorina scutulata
249,Vitrinella oldroydi
250,Thylacodes squamigerous
251,Petaloconchus montereyensis
252,Bittium eschrichtii
253,Epitonium tinctum
254,Opalia chacei
