consumerNum,consumerName,life_stage,consumerCat,trophic_strategy,source,preys_on,parasitic_on,zone,habitat_notes
801,Bugula pacifica,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,intertidal to 123 m.
802,Bugula pugeti,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,in fouling community; low tide to 117 m
805,Caulibugula californica,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,NA
806,Caulibugula ciliata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,common on red algae
815,Dendrobeania curvirostrata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
131,Dendrobeania laxa,adult,bryozoan,filter feeder,"Morris, Abbott, & Haderlie",not reported,NA,low,protected rocky coast
800,Alderina brevispina,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"Small encrusting colonies on rock, shell, other hard substrates"
804,Callopora corniculifera,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"encrusting rock, shell"
2300,Callopora minuscula,adult,bryozoan,filter feeder,Goddard 1984,not reported,NA,unknown,unknown
807,Cauloramphus californiensis,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"encrusts shell, rock, kelp holdfasts"
808,Cauloramphus echinus,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,NA
813,Copidozoum adamantum,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,Encrusting
814,Copidozoum protectum,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,encrusting hard substrates
826,Tegella armifera,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,intertidal in northern waters to >100 m in southern California if all are the same species
827,Tegella cassidata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"encrusting rock, shell"
828,Tegella circumclathrata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"encrusting rock, shell;"
829,Tegella horrida,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
830,Tegella larusiensis,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"encrusting, especially arenaceous worm tubes"
831,Tegella robertsonae,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"encrusting shell, sponge, larger algae, tunicates"
803,Caberea ellisii,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
768,Scrupocellaria californica,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,pools
834,Tricellaria circumternata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"attached to hydroids, arenaceous worm tubes, erect bryozoan colonies, seaweeds"
128,Tricellaria occidentalis,adult,bryozoan,filter feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,low,"common in fouling on boat hulls, other hard substrates, algae"
809,Cellaria diffusa,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,NA
810,Cellaria mandibulata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,on hard substrates
843,Buffonellaria vitrea,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"on shell, rock, worm tubes"
845,Celleporina souleae,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,on erect stems
811,Chaperiopsis patula,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,NA
