publication_year,firstauthor,title,reference,reference_number,author,year,link_or_doi
1988,Guzman,"Aspects of the population biology of the marine isopod excorallana tricornis occidentalis richardson, 1905 (crustacea: isopoda: corallanidae) at cano island, pacific costa rica","Guzman, Hector M.; Obando, Vilma L.; Brusca, Richard C.; Delaney, Paul M.. 1988. Aspects of the population biology of the marine isopod excorallana tricornis occidentalis richardson, 1905 (crustacea: isopoda: corallanidae) at cano island, pacific costa rica. Bulletin of Marine Science. 43. 1. 77-87",423,Guzman,1988,NA
2007,Snellen,Assessing western gull predation on purple sea urchins in the rocky intertidal using optimal foraging theory,"Snellen, C.L.; Hodum, P.J.; Fernández-Juricic, E.. 2007. Assessing western gull predation on purple sea urchins in the rocky intertidal using optimal foraging theory. Canadian Journal of Zoology. 85. 2. 221-231. 10.1139/z06-203",417,Snellen,2007,NA
2008,Stickle,Association and distribution of the ciliate orchitophrya stellarum with asteriid sea stars on the west coast of north america,"Stickle, W. B.; Kozloff, E. N.. 2008. Association and distribution of the ciliate orchitophrya stellarum with asteriid sea stars on the west coast of north america. Diseases of Aquatic Organisms. 80. 1. 37-43. 10.3354/dao01917",37,"William B. Stickle1,*, Eugene N. Kozloff 2",2008,NA
1972,Vader,Associations between amphipods and molluscs. A review of published records,"Vader, Wim. 1972. Associations between amphipods and molluscs. A review of published records. Sarsia. 48. 1. 13-18. 10.1080/00364827.1972.10411193",285,Vader,1972,NA
NA,NA,Bacteria as food for marine harpacticoid copepods,"Rieper, M. (1978). Bacteria as food for marine harpacticoid copepods. Marine Biology, 45(4), 337–345. https://doi.org/10.1007/BF00391820",322,Rieper,1978,NA
1975,Reiswig,Bacteria as food for temperate-water marine sponges,"Reiswig, Henry M.. 1975. Bacteria as food for temperate-water marine sponges. Canadian Journal of Zoology. 53. 5. 582-589. 10.1139/z75-072",181,Henry M. Reiswig,1975,NA
1974,Spencer,Behavior and electrical activity in the hydrozoan proboscidactyla flavicirrata (brandt). I. The hydroid colony,"Spencer, Andrew N.. 1974. Behavior and electrical activity in the hydrozoan proboscidactyla flavicirrata (brandt). I. The hydroid colony. The Biological Bulletin. 146. 1. 100-115. 10.2307/1540401",241,Spencer,1974,NA
NA,NA,"Behavior of janiroidean isopods (asellota), with special reference to deep-sea genera","Hessler, R. R., & Strömberg, J.-O. (1989). Behavior of janiroidean isopods (Asellota), with special reference to deep-sea genera. Sarsia, 74(3), 145–159. https://doi.org/10.1080/00364827.1989.10413424",316,Hessler and Stromberg,2011,NA
1987,Segal,"Behavior of juvenile nerocila acuminata (isopoda, cymothoidae) during attack, attachment and feeding on fish prey","Segal, Earl. 1987. Behavior of juvenile nerocila acuminata (isopoda, cymothoidae) during attack, attachment and feeding on fish prey. Bulletin of Marine Science. 41. 2. 351-360",424,Segal,1987,NA
1986,Kent,"Behavior, habitat use, and food of three egrets in a marine habitat","Kent, Donald M.. 1986. Behavior, habitat use, and food of three egrets in a marine habitat. Colonial Waterbirds. 9. 1. 25-30. 10.2307/1521140",393,Kent,1986,NA
1981,Van,"Behavioral responses of seven species of asteroids to the asteroid predator, solaster dawsoni","Van Veldhuizen, H. D.; Oakes, V. J.. 1981. Behavioral responses of seven species of asteroids to the asteroid predator, solaster dawsoni. Oecologia. 48. 2. 214-220",17,H.D. Van Veldhuizen and V.J. Oakes,1981,NA
1986,Holyoak,Behavioral strategies of the trochid gastropods margarites pupillus and calliostoma ligatum,"Holyoak, Alan H.. 1986. Behavioral strategies of the trochid gastropods margarites pupillus and calliostoma ligatum. Brigham Young University",332,Holyoak,1986,NA
2020,Goddard,"Benthic heterobranch sea slugs (gastropoda: heterobranchia) from santa barbara county, california","Goddard, Jeffrey H R; Goddard, William M; Goddard, Zygmund E. 2020. Benthic heterobranch sea slugs (gastropoda: heterobranchia) from santa barbara county, california. Proceedings of the California Academy of Sciences. 66. 10. 25",175,Goddard et al,2020,NA
2007,Goddard,Berthella (opisthobranchia : pleurobranchidae) from the northeast pacific ocean prey on plakinid sponges (homoscleromorpha : plakinidae),"Goddard, Jeffrey. 2007. Berthella (opisthobranchia : pleurobranchidae) from the northeast pacific ocean prey on plakinid sponges (homoscleromorpha : plakinidae). Veliger -Berkeley-. 49. 97-100",135,JEFFREY H. R. GODDARD,2007,NA
NA,NA,Between-habitat interactions in coastal ecosystems: current knowledge and future challenges for understanding community dynamics,"Hori, M. (2008). Between-habitat interactions in coastal ecosystems: Current knowledge and future challenges for understanding community dynamics. Plankton and Benthos Research, 3(2), 53–63. https://doi.org/10.3800/pbr.3.53",335,Hori,2008,NA
2020,Santhanam,Biology and ecology of the venomous marine anthozoans (class anthozoa),"Santhanam, Ramasamy. 2020. Biology and ecology of the venomous marine anthozoans (class anthozoa). Biology and Ecology of Venomous Marine Cnidarians. Springer. 169-285",113,Sanatham,2020,NA
2003,McFadden,"Biology and taxonomy of encrusting alcyoniid soft corals in the northeastern pacific ocean with descriptions of two new genera (cnidaria, anthozoa, octocorallia)","McFadden, Catherine S.; Hochberg, F.g.. 2003. Biology and taxonomy of encrusting alcyoniid soft corals in the northeastern pacific ocean with descriptions of two new genera (cnidaria, anthozoa, octocorallia). Invertebrate Biology. 122. 2. 93-113. 10.1111/j.1744-7410.2003.tb00076.x",NA,NA,NA,NA
2023,Tuskes,"Biology of the wavy top turban megastraea undosa (wood, 1828) from southern california, and the baja california peninsula (turbinidae)","Tuskes, Paul; Tuskes, Ann. 2023. Biology of the wavy top turban megastraea undosa (wood, 1828) from southern california, and the baja california peninsula (turbinidae). The Festivus. 55. 1. 40-56. 10.54173/F55140",276,Paul M. Tuskes and Ann M. Tuskes,2023,NA
1987,Pawlik,"Bocquetia rosea, new genus, new species, an unusual rhizocephalan parasite of a sponge-inhabiting barnacle, membranobalanus orcutti (pilsbry), from california","Pawlik, Joseph R.. 1987. Bocquetia rosea, new genus, new species, an unusual rhizocephalan parasite of a sponge-inhabiting barnacle, membranobalanus orcutti (pilsbry), from california. Journal of Crustacean Biology. 7. 2. 265-273. 10.1163/193724087X00225",253,Joseph R. Pawlik,1987,https://www.jstor.org/stable/1548607
2007,Hochberg,Brachiopoda,"Hochberg, F. G.. 2007. Brachiopoda. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 864-865",NA,NA,NA,NA
NA,NA,Branchiura: a compendium of the geographical distribution and a summary of their biology,"Neethling, L. A. M., & Avenant-Oldewage, A. (2016). Branchiura—A Compendium of the Geographical Distribution and a Summary of Their Biology. Crustaceana, 89(11/12), 1243–1446.",269,Neethling & Avenant-Oldewage,2016,NA
2007,Soule,Bryozoa,"Soule, Dorothy F.; Soule, John D.; Morris, Penny A.; Chaney, Henry W.. 2007. Bryozoa. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 866-904",NA,NA,NA,NA
NA,NA,The consequences of consumer diversity loss: different answers from different experimental designs. Ecology 90:2879-2888.,"Byrnes, J. E. and j. J. Stachowicz. 2009. The consequences of consumer diversity loss: different answers from different experimental designs. Ecology 90:2879-2888.",234,NA,NA,12/20/2023 03:00PM
2001,Leet,California's living marine resources: a status report,"Leet, William S.. 2001. California's living marine resources: a status report. University Of California, Division of Agriculture and Natural Resources; Califorinia Sea Grant",121,"W.S. Leet, et al.",2001,NA
2019,Tuskes,Calliostoma and akoya of the californian marine province (gastropoda: calliostomatidae),"Tuskes, Paul; McGowan-Tuskes, Ann. 2019. Calliostoma and akoya of the californian marine province (gastropoda: calliostomatidae). The Festivus. 51. 1. 28-Nov. 10.54173/F511011",275,Tuskes and Tuskes,2019,NA
2019,Tuskes,Calliostomatidae of the northeast pacific,"Tuskes, Paul M.. 2019. Calliostomatidae of the northeast pacific. Zoosymposia. 13. 83-96. 10.11646/zoosymposia.13.1.9",274,Paul Tuskes,2019,NA
1991,B.,Castration and mortality in pisaster ochraceus parasitized by orchitophrya stellarum (ciliophora),B. J. Leighton; J. D. G. Boom; C. Bouland; E. B. Hartwick; M. J. Smith. 1991. Castration and mortality in pisaster ochraceus parasitized by orchitophrya stellarum (ciliophora). Diseases of Aquatic Organisms. 10. 71-73,25,"Leighton, B. J. ;  Boom, J. D. G. ;  Bouland, C. ;  Hartwick, E. B. ;  Smith, M. J.",1991,NA
2007,Thuesen,Chaetognatha,"Thuesen, Erik V.. 2007. Chaetognatha. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 905-908",NA,NA,NA,NA
2003,Batisti_,Chaetognaths in the south adriatic: vertical distribution and feeding,"Batisti_, Mirna; Miku_, Josip; Njire, Jakica. 2003. Chaetognaths in the south adriatic: vertical distribution and feeding. Journal of the Marine Biological Association of the United Kingdom. 83. 6. 1301-1306. 10.1017/S0025315403008713",226,Batistic,2003,12/20/2023 12:14PM
2018,Lozano-Cobo,Changes in parasite-chaetognath species assemblages in the mexican central pacific before and during el niño 1997-1998,"Lozano-Cobo, Horacio; Gómez-Gutiérrez, Jaime; Franco-Gordo, Carmen; Prado-Rosas, María del Carmen Gómez del; Plascencia-Palomera, Viridiana; Ambriz-Arreola, Israel. 2018. Changes in parasite-chaetognath species assemblages in the mexican central pacific before and during el niño 1997-1998. Diseases of Aquatic Organisms. 129. 3. 215-238. 10.3354/dao03245",219,"Lozano-Cobo, H. et al.",1996,12/20/2023 12:14PM
NA,NA,Chapter four - diet composition and trophic ecology of northeast pacific ocean sharks,"Bizzarro, J. J., Carlisle, A. B., Smith, W. D., & Cortés, E. (2017). Diet Composition and Trophic Ecology of Northeast Pacific Ocean Sharks. In S. E. Larson & D. Lowry (Eds.), Advances in Marine Biology (Vol. 77, pp. 111–148). Academic Press. https://doi.org/10.1016/bs.amb.2017.06.001",125,Joseph J.Bizzarro*Aaron B.Carlisle‚Ä†Wade D.Smith‚Ä°EnricCort√©s¬ß,2017,NA
1972,Schroeter,"Characterization of field populations of margarites pupillus (gould) (gastropoda, prosobranchia)","Schroeter, Stephen Craig. 1972. Characterization of field populations of margarites pupillus (gould) (gastropoda, prosobranchia). Brigham Young University",331,Schroeter,1972,NA
2016,FioRito,Characterization of three novel species of labyrinthulomycota isolated from ochre sea stars (pisaster ochraceus),"FioRito, R.; Leander, C.; Leander, B.. 2016. Characterization of three novel species of labyrinthulomycota isolated from ochre sea stars (pisaster ochraceus). Marine Biology. 163. 8. ARTN 170 10.1007/s00227-016-2944-5",34,"Rebecca FioRito, Celeste Leander, Brian Leander",2016,NA
NA,NA,Chemical defense and evolutionary ecology of dorid nudibranchs and some other opisthobranch gastropods,"Faulkner, D., & Ghiselin, M. (1983). Chemical defense and evolutionary ecology of dorid nudibranchs and some other opisthobranch gastropods. Marine Ecology Progress Series, 13, 295–301. https://doi.org/10.3354/meps013295",131,John Faulknerl and Michael T. Ghiselin,1983,NA
2002,Hutchinson,"Chemical defense in the gammarid amphipods chromopleustes oculatus, ch. lineatus, and cryptodius kelleri (arthropoda: crustacea)","Hutchinson, Marcy. 2002. Chemical defense in the gammarid amphipods chromopleustes oculatus, ch. lineatus, and cryptodius kelleri (arthropoda: crustacea). East Carolina University",254,Marcy Hutchinson,2002,NA
